REF_DATE,GEO,DGUID,Farm type,Program payments and market income,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2014,Canada,2016A000011124,Crop production,Net program payments,Dollars,81,units ,0,v31199510,1.1.1,8246.0,B,,,0
2014,Canada,2016A000011124,Crop production,Net market income,Dollars,81,units ,0,v31199511,1.1.2,68418.0,,,,0
2014,Canada,2016A000011124,Crop production,Net market income adjusted for capital cost allowance,Dollars,81,units ,0,v31199512,1.1.3,22779.0,,,,0
2014,Canada,2016A000011124,Oilseed and grain farming,Net program payments,Dollars,81,units ,0,v31199513,1.2.1,7076.0,B,,,0
2014,Canada,2016A000011124,Oilseed and grain farming,Net market income,Dollars,81,units ,0,v31199514,1.2.2,77415.0,,,,0
2014,Canada,2016A000011124,Oilseed and grain farming,Net market income adjusted for capital cost allowance,Dollars,81,units ,0,v31199515,1.2.3,26569.0,,,,0
2014,Canada,2016A000011124,Potato farming,Net program payments,Dollars,81,units ,0,v31199516,1.3.1,48408.0,B,,,0
2014,Canada,2016A000011124,Potato farming,Net market income,Dollars,81,units ,0,v31199517,1.3.2,190110.0,,,,0
2014,Canada,2016A000011124,Potato farming,Net market income adjusted for capital cost allowance,Dollars,81,units ,0,v31199518,1.3.3,58928.0,,,,0
2014,Canada,2016A000011124,Other vegetable (except potato) and melon farming,Net program payments,Dollars,81,units ,0,v31199519,1.4.1,18346.0,C,,,0
2014,Canada,2016A000011124,Other vegetable (except potato) and melon farming,Net market income,Dollars,81,units ,0,v31199520,1.4.2,59254.0,,,,0
2014,Canada,2016A000011124,Other vegetable (except potato) and melon farming,Net market income adjusted for capital cost allowance,Dollars,81,units ,0,v31199521,1.4.3,25504.0,,,,0
2014,Canada,2016A000011124,Fruit and tree nut farming,Net program payments,Dollars,81,units ,0,v31199522,1.5.1,9092.0,B,,,0
2014,Canada,2016A000011124,Fruit and tree nut farming,Net market income,Dollars,81,units ,0,v31199523,1.5.2,27514.0,,,,0
2014,Canada,2016A000011124,Fruit and tree nut farming,Net market income adjusted for capital cost allowance,Dollars,81,units ,0,v31199524,1.5.3,8055.0,,,,0
2014,Canada,2016A000011124,"Greenhouse, nursery and floriculture production",Net program payments,Dollars,81,units ,0,v31199525,1.6.1,30929.0,C,,,0
2014,Canada,2016A000011124,"Greenhouse, nursery and floriculture production",Net market income,Dollars,81,units ,0,v31199526,1.6.2,118539.0,,,,0
2014,Canada,2016A000011124,"Greenhouse, nursery and floriculture production",Net market income adjusted for capital cost allowance,Dollars,81,units ,0,v31199527,1.6.3,25689.0,,,,0
2014,Canada,2016A000011124,Other crop farming,Net program payments,Dollars,81,units ,0,v31199528,1.7.1,4214.0,D,,,0
2014,Canada,2016A000011124,Other crop farming,Net market income,Dollars,81,units ,0,v31199529,1.7.2,24209.0,,,,0
2014,Canada,2016A000011124,Other crop farming,Net market income adjusted for capital cost allowance,Dollars,81,units ,0,v31199530,1.7.3,7027.0,,,,0
2014,Canada,2016A000011124,Animal production,Net program payments,Dollars,81,units ,0,v31199531,1.8.1,6527.0,A,,,0
2014,Canada,2016A000011124,Animal production,Net market income,Dollars,81,units ,0,v31199532,1.8.2,57123.0,,,,0
2014,Canada,2016A000011124,Animal production,Net market income adjusted for capital cost allowance,Dollars,81,units ,0,v31199533,1.8.3,26397.0,,,,0
2014,Canada,2016A000011124,"Beef cattle ranching and farming, including feedlots",Net program payments,Dollars,81,units ,0,v31199534,1.9.1,4625.0,B,,,0
2014,Canada,2016A000011124,"Beef cattle ranching and farming, including feedlots",Net market income,Dollars,81,units ,0,v31199535,1.9.2,21139.0,,,,0
2014,Canada,2016A000011124,"Beef cattle ranching and farming, including feedlots",Net market income adjusted for capital cost allowance,Dollars,81,units ,0,v31199536,1.9.3,1811.0,,,,0
2014,Canada,2016A000011124,Dairy cattle and milk production,Net program payments,Dollars,81,units ,0,v31199537,1.10.1,6607.0,B,,,0
2014,Canada,2016A000011124,Dairy cattle and milk production,Net market income,Dollars,81,units ,0,v31199538,1.10.2,147004.0,,,,0
2014,Canada,2016A000011124,Dairy cattle and milk production,Net market income adjusted for capital cost allowance,Dollars,81,units ,0,v31199539,1.10.3,80000.0,,,,0
2014,Canada,2016A000011124,Hog and pig farming,Net program payments,Dollars,81,units ,0,v31199540,1.11.1,42764.0,B,,,0
2014,Canada,2016A000011124,Hog and pig farming,Net market income,Dollars,81,units ,0,v31199541,1.11.2,252097.0,,,,0
2014,Canada,2016A000011124,Hog and pig farming,Net market income adjusted for capital cost allowance,Dollars,81,units ,0,v31199542,1.11.3,173712.0,,,,0
2014,Canada,2016A000011124,Poultry and egg production,Net program payments,Dollars,81,units ,0,v31199543,1.12.1,7187.0,C,,,0
2014,Canada,2016A000011124,Poultry and egg production,Net market income,Dollars,81,units ,0,v31199544,1.12.2,179012.0,,,,0
2014,Canada,2016A000011124,Poultry and egg production,Net market income adjusted for capital cost allowance,Dollars,81,units ,0,v31199545,1.12.3,118274.0,,,,0
2014,Canada,2016A000011124,Other animal production,Net program payments,Dollars,81,units ,0,v31199546,1.13.1,6942.0,B,,,0
2014,Canada,2016A000011124,Other animal production,Net market income,Dollars,81,units ,0,v31199547,1.13.2,24585.0,,,,0
2014,Canada,2016A000011124,Other animal production,Net market income adjusted for capital cost allowance,Dollars,81,units ,0,v31199548,1.13.3,6504.0,,,,0
2014,Newfoundland and Labrador,2016A000210,Crop production,Net program payments,Dollars,81,units ,0,v52310489,2.1.1,7541.0,C,,,0
2014,Newfoundland and Labrador,2016A000210,Crop production,Net market income,Dollars,81,units ,0,v52310490,2.1.2,13449.0,,,,0
2014,Newfoundland and Labrador,2016A000210,Crop production,Net market income adjusted for capital cost allowance,Dollars,81,units ,0,v52310491,2.1.3,-9715.0,,,,0
2014,Newfoundland and Labrador,2016A000210,Oilseed and grain farming,Net program payments,Dollars,81,units ,0,v52310492,2.2.1,,x,,,0
2014,Newfoundland and Labrador,2016A000210,Oilseed and grain farming,Net market income,Dollars,81,units ,0,v52310493,2.2.2,,x,,,0
2014,Newfoundland and Labrador,2016A000210,Oilseed and grain farming,Net market income adjusted for capital cost allowance,Dollars,81,units ,0,v52310494,2.2.3,,x,,,0
2014,Newfoundland and Labrador,2016A000210,Potato farming,Net program payments,Dollars,81,units ,0,v52310495,2.3.1,,x,,,0
2014,Newfoundland and Labrador,2016A000210,Potato farming,Net market income,Dollars,81,units ,0,v52310496,2.3.2,,x,,,0
2014,Newfoundland and Labrador,2016A000210,Potato farming,Net market income adjusted for capital cost allowance,Dollars,81,units ,0,v52310497,2.3.3,,x,,,0
2014,Newfoundland and Labrador,2016A000210,Other vegetable (except potato) and melon farming,Net program payments,Dollars,81,units ,0,v52310498,2.4.1,8442.0,C,,,0
2014,Newfoundland and Labrador,2016A000210,Other vegetable (except potato) and melon farming,Net market income,Dollars,81,units ,0,v52310499,2.4.2,16057.0,,,,0
2014,Newfoundland and Labrador,2016A000210,Other vegetable (except potato) and melon farming,Net market income adjusted for capital cost allowance,Dollars,81,units ,0,v52310500,2.4.3,94.0,,,,0
2014,Newfoundland and Labrador,2016A000210,Fruit and tree nut farming,Net program payments,Dollars,81,units ,0,v52310501,2.5.1,,x,,,0
2014,Newfoundland and Labrador,2016A000210,Fruit and tree nut farming,Net market income,Dollars,81,units ,0,v52310502,2.5.2,,x,,,0
2014,Newfoundland and Labrador,2016A000210,Fruit and tree nut farming,Net market income adjusted for capital cost allowance,Dollars,81,units ,0,v52310503,2.5.3,,x,,,0
